bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
RMR0326917,ECO.01.1000,ECO.01.1000,Desert Islands and Robinson Crusoe,by Walter De la Mare,London,1930,1930,eng,yes
BVE0471523,ECO.02.0168/11,ECO.02.0168/11,"Printed books including art reference, atlases, maps, travel and topography, natural history ...",Sotheby's,London,[1986?],1986,eng,yes
MIL0875342,ECO.04.0006,ECO.04.0006,La misteriosa fiamma della regina Loana,Umberto Eco,Milano,2014,2014,ita,
UBO1774019,ECO.01.0666,ECO.01.0666,Protogée ou de la formation et des révolutions du globe,par Leibniz,Paris,1859,1859,fre,yes
RMS2490682,ECO.04.0063,ECO.04.0063,"[4]: Esplorazioni, commerci, utopie",,Milano,©2011,2011,ita,
BVEE030868,ECO.01.0716/01,ECO.01.0716/01,"D.D.R.C.F. Lazari Meyssonnerii Matisconensis ... Pentagonum philosoph.-medicum. Siue ars noua reminiscentiae. ... Opus nouum, ad discendam, docendam, ",,Lugduni,1639,1639,lat,yes
BVEE034459,ECO.01.0392,ECO.01.0392,"1.2: Tractatus secundus, de naturae simia seu Technica macrocosmi historia, in partes undecim divisa. Authore Roberto Fludd alias de Fluctibus, ...",,Francofurti,1624,1624,lat,yes
BVEE034735,ECO.01.0172,ECO.01.0172,"Ioannis Dallaei De imaginibus libri 4. Concil. Eliberit. Can. 36. Placuit picturas in Ecclesiâ esse non debere, ne quod colitur & adoratur, in parieti",,Lugd. Batavor.,1642,1642,lat,yes
BVEE035259,ECO.01.0743/4,ECO.01.0743/4,"Artis memoriae, pars 4. videlicet, De memoria reparanda conseruandaque, ac de reminiscentia: tutiora omnimoda remedia, praeceptionesque optimae: autho",,Francofurti,1603,1603,lat,yes
UBO3831464,ECO.01.0254/08,ECO.01.0254/08,Esoterica,,London,2003,2003,eng,yes
BVEE039751,ECO.01.0727,ECO.01.0727,"\2!: Ars memoriae. Hactenus ab eius primo autore, huiusce secundo quidem in incognito, ita obscure studio tradita, ut legere nedum intelligere quis po",,,1678,1678,lat,yes
BVEE039860,ECO.01.0369,ECO.01.0369,"Traicte' des chiffres, ou Secretes manieres d'escrire: par Blaise de Vigenere, bourbonnois",,A Paris,1587,1587,fre,
RMS2490674,ECO.04.0068,ECO.04.0068,5: L'antichità. Grecia,a cura di Umberto Eco,Milano,2011,2011,ita,
