bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
MILE062520,ECO.01.0345,ECO.01.0345,4,,Leipzig,1788,1788,ger,yes
MILE062527,ECO.01.0360,ECO.01.0360,"The works of Jacob Behmen, the teutonic theosopher. Volume 1 [- 4]",,London,1764-1781,1764,eng,
MILE062536,ECO.01.0383/1,ECO.01.0383/1,Philosophia moysaica. In quia sapientia & scientia creationis & creaturarum sacra veréque Christiana (vt pote cujus basis sive fundamentum est unicus ,,Goudæ,1638,1638,lat,yes
MILE062546,ECO.01.0404,ECO.01.0404,"Tractatus apologeticus integritatem societatis de Rosea Cruce defendens. In qua probatur contra D. Libavij & aliorum ejusdem farinae calumnias, quod a",,Lugduni Batavorum,1617,1617,lat,yes
MILE063070,ECO.01.0588/03,ECO.01.0588/03,Il polo liceo della lingua maestra in Europa tripartitamente dilucidato al mondo da Gio. Pietro Erico,,In Venezia,1678,1678,ita,yes
MILE063071,ECO.01.0642,ECO.01.0642,"Sylva sylvarum: or a naturall historie. In ten centuries ... Published after the authors death, by William Rawley ...",,London,1631,1631,eng,yes
MILE063077,ECO.03.0016,ECO.03.0016,Offenbarung Göttlicher Mayestat : Darinnen angezeygt wird Wie Gott der Herr Anfänglich sich allen seinen Geschöpffen mit Worten und Wercken geoffenbar,,[Hanau],1619,1619,ger,yes
MILE063078,ECO.03.0022/01,ECO.03.0022/01,"Dyas chymica tripartita, das ist: sechs herrliche teutsche philosophische tractätlein : deren ... von an itzo noch im leben ... von mitlern alters und",,Franckfurt am Mayn,1625,1625,ger,yes
MILE063086,ECO.01.0782,ECO.01.0782,"Le grant voyage de Jhérusalem diuise en deux parties. En la premiere est traicte des peregrinations de la saincte cité de Jhérusalem, du mont saincte ",,Imprime à Paris,,1517,fre,yes
MILE063092,ECO.01.0791/01,ECO.01.0791/01,"Allergerechtest Von Ihro Römischen Kayserlichen und Königl. Cathol. Majest ...  ergangene Resolutiones und Mandata, Ueber die zwischen Einem Hoch-Edle",,,,1726,ger,yes
MILE063117,ECO.01.0831/01,ECO.01.0831/01,"Erster Theyl Theatri diabolorum Das ist Warhaffte eigentliche und kurtze Beschreibung Allerley grewlicher, schrecklicher und abschewlicher Laster so i",,,,1587,ger,yes
MILE063118,ECO.01.0831/02,ECO.01.0831/02,"Ander Theyl Theatri diabolorum Das ist Warhaffte eigentliche und kurtze Beschreibung Allerley grewlicher, schrecklicher und abschewlicher Laster so in",,,,1587,ger,yes
MILE063119,ECO.03.0050,ECO.03.0050,"Von hylealischen, das ist pri-materialischen catholischen oder algemeinem natürlichen chaos der naturgemessen alchymiae und alchymisten; wiederholete ",,Gedruckt zu Mägdeburg,1597,1597,ger,yes
MILE063123,ECO.01.0842,ECO.01.0842,"Discours fait en une célèbre assemblée par le chevalier Digby, cancelier de la reine de la grande Bretagne & c. Touchant la guérison des playes par la",,A Paris,1658,1658,fre,
MILE063133,ECO.01.0873,ECO.01.0873,"Aurevm vellus, oder, Guldin Schatz und Kunst-Kammer, darinnen der aller fürnemisten, fürtreffenlichsten ... Reliquien und Monumenten der Aegyptiorum, ",,Hamburg,1708,1708,ger,yes
MILE063139,ECO.01.0942,ECO.01.0942,2. Operum pars posterior. Quorum catalogum exhibebunt tibi paginae sequentes. Una cum rerum et verborum hoc tomo memorabilium indice & locuplete & cer,,,,1600,lat,yes
MILE063146,ECO.02.0093/02,ECO.02.0093/02,Loi téléologique du hazard.,,Paris,,1828,fre,yes
MILE063149,ECO.03.0070,ECO.03.0070,"Astronomia magna oder Die gantze Philosophia sagax der grossen und kleinen Welt, des von Gott hocherleuchten, erfahrnen, und bewerten teutschen Philos",Philippi Theophrasti Bombast / genannt Paracelsi magni ... was die Geister durch,Mit Röm. Keys. Maiest. gnad und Freyheit,1571,1571,ger,yes
TO01836511,ECO.01.0254/02,ECO.01.0254/02,Anima mundi,"Marco Ariani, Paolo Pampaloni",Milano,2011,2011,ita,
RAV1954770,ECO.04.0079,ECO.04.0079,16: Il Medioevo. Alto medioevo,a cura di Umberto Eco,Milano,2011,2011,ita,
TO01884297,ECO.02.0131,ECO.02.0131,2: Sociétés secretes,par Pierre Zaccone,Paris,[18..],1831,fre,yes
MILE062560,ECO.01.0436,ECO.01.0436,"Thomas Campanella, von der Spanischen Monarchy, oder Aussführliches Bedencken, welcher massen, von dem König in Hispanien, zu nunmehr lang gesuchter W",,[S.l.],1620,1620,ger,yes
MILE062562,ECO.01.0444,ECO.01.0444,"Michaelis Maieri Cantilenae intellectuales de phoenice redivivo, ou, chansons intellectuelles sur la resurrection du phenix, par Michel Maier, &c. Tra",,A Paris,1758,1758,fre,yes
MILE062563,ECO.01.0447,ECO.01.0447,"Lusus serius, quo Hermes, sive Mercurius rex mundanorum omnium sub homine existentium, post longam disceptationem in concilio octovirali habitam, homi",,Oppenheimii,1616,1616,lat,yes
MILE062564,ECO.01.0454,ECO.01.0454,"Verum inuentum, hoc est, Munera Germaniae, ab ipsa primitus reperta ... Tractatus peculiari euoluta & tradita authore Michaele Maiero, comite imperial",,Francofurti,1619,1619,lat,yes
MILE062591,ECO.01.0539/01,ECO.01.0539/01,"Lingua tersancta, or, A most sure and compleat allegorick dictionary to the holy language of the spirit : carefully and faithfully expounding and illu",,London,1703,1703,eng,yes
MILE062593,ECO.01.0540,ECO.01.0540,"Cataractes de l'imagination, déluge de la scribomanie, vomissement littéraire, hémorragie encyclopédique, monstre des monstres par Epiménide l'inspiré",,"Dans l'antre de Trophonius, au pays des ",1779,1779,fre,
MILE062597,ECO.01.0540,ECO.01.0540,Tome troisieme,,,1779,1779,fre,yes
MILE062602,ECO.01.0543,ECO.01.0543,Dictionnaire néologique à l'usage des beaux esprits du siècle: Avec l' Eloge historique de Pantalon-Phoebus ... par l'auteur du Dictionnaire néologiqu,,A Amsterdam et Leipzig,1756,1756,fre,yes
MILE062607,ECO.01.0570,ECO.01.0570,De recta nominum impositione: a Ponto Tyardaeo Bissiano Cabilonensi episcopo,,Lugduni,1602,1602,lat,yes
MILE062620,ECO.03.0007,ECO.03.0007,Incipit prohemium de proprietatibus rerum fratris Bartholomei anglici de ordine fratrum minorum,,,,1480,lat,yes
MILE062621,ECO.01.0567,ECO.01.0567,"Abrah. Vander-Milii  Lingva Belgica sive de linguae illius communitate tum cum plerisque alijs, tum pr[a]esertim cum Latinâ, Graecâ, Persicâ, deque co",,Lugduni Batavorum,1612,1612,lat,yes
MILE062623,ECO.01.0582,ECO.01.0582,"Didascalocophus or the deaf and dumb mans tutor, to which is added a discourse of the nature and number of double consonants ... of the subjects. By G",,In Oxford,1680,1680,eng,
MILE062626,ECO.03.0013/01,ECO.03.0013/01,Incipit liber primus Ethimologiarum Isidori Hispalensis episcopi. De disciplina et arte,,,[circa 1473],1473,lat,yes
MILE062628,ECO.01.0587,ECO.01.0587,"Mercury, or The secret and swift messenger: shewing, how a man may with privacy and speed communicate his thoughts to a friend at any distance",,London,1641.,1641,ita,
MILE062640,ECO.01.0747,ECO.01.0747,"Rationarium Evangelistarum, omnia in se evangelia, prosa, versu, ymaginibusque..... complectens",,,[1505],1505,lat,yes
MILE062642,ECO.01.0592,ECO.01.0592,"L'homme dans la lune ou le voyage chimérique fait au monde de la lune, nouvellement découvert par Dominique Gonzales, advanturier espagnol, autrement ",,A Paris,1648,1648,fre,yes
MILE062651,ECO.01.0607,ECO.01.0607,"Ekskybalauron or, The discovery of a most exquisite jewel, more precious then diamonds inchased in gold, the like whereof was never seen in any age : ",,London,1652,1652,ita,
MILE062652,ECO.01.0608,ECO.01.0608,Nicolai Klimii Iter subterraneum nouamtelluris theoriam ac historiam quintæ monarchiæ adhuc nobis incognitæ exhibens e bibliotheca B. Abelini,,Hafniæ & Lipsiæ,1745,1745,lat,yes
MILE062660,ECO.01.0621,ECO.01.0621,Algebrae philosophicae in usum artis inveniendi specimen primum Ludovici Richeri,,Turin,[1760-1761],1760,lat,yes
MILE062663,ECO.01.0596,ECO.01.0596,1.,,,,1512,fre,yes
MILE062665,ECO.01.0596,ECO.01.0596,Le tiers livre des illustrations de Gaule et singularitez de Troye.,,,,1513,fre,yes
MILE062674,ECO.01.0596/04,ECO.01.0596/04,Le traictie intitule de la difference des scismes et des concilles de leglise. Et de la preeminence et utilite des concilles de la saincte eglise gall,,,(Lyon) 1511,1511,fre,yes
MILE062679,ECO.01.0596/05,ECO.01.0596/05,La legende des Venitiens. Ou autrement leur cronicque abbregee. Par laquelle est demonstre le tres juste fondement de la guerre contre eulx. La plainc,,,,1512,fre,yes
MILE062680,ECO.01.0596/06,ECO.01.0596/06,Lepistre du Roy a Hector de Troye. Et aucunes aultres oeuvres assez dignes de veoir.,,,,1513,fre,yes
MILE062691,ECO.01.0630,ECO.01.0630,"Herrn von Veneroni Italiänisch-Frantzösisch- und Teutsche Grammatica, oder Sprach Meister, so ordentlich eingerichtet, dass man darinnen ... mit neuen",,Franckfurt und Leipzig,1724,1733,ger,
MILE062718,ECO.01.0675,ECO.01.0675,"Nouvelles dissertations sur plusieurs questions importantes et curieuses, qui n'ont point été traitées dans le commentaire litteral sur tous les livre",,A Paris,1720,1720,fre,yes
MILE062724,ECO.01.0684/02,ECO.01.0684/02,"Aristotelis Stragyrite Dialectica,  cum quinque vocibus Porphyrii Phenicis, Argyropilo traductore, a Joanne Eckio theologo facili explanatione declara",,,,1517,ger,
MILE062728,ECO.01.0697,ECO.01.0697,"Traité complet de mnémonique, ou art d'aider et de fixer la mémoire en tous genres d'études et de sciences, orné d'un tableau d'application a l'histoi",,A Lille,1808,1808,fre,yes
MILE062730,ECO.01.0713,ECO.01.0713,"Dialectica analogicis imaginibus Illustrata, In phantasiae, et localis memoriae auxilium, ad faciliorem rerum logicarum perceptionem et mentis, et ocu",,Friburgi Brisgoiae,1771,1771,ita,yes
MILE062747,ECO.01.0718,ECO.01.0718,Nicolai Chappusii de mente et memoria libellus vtilissimus: ad Carolum Guillar dum Consiliarium regium: et senatorii ordinis presidem dignissimum.,,[Parigi],,1513,lat,yes
MILE062748,ECO.01.0736,ECO.01.0736,"Le triomphe de l'archee, et la merueille du monde, ou la medecine vniuerselle et veritable pour toutes sortes de maladies ...",,A Paris,,1661,fre,yes
MILE062751,ECO.01.0753,ECO.01.0753,Arbor scientiæ venerabilis et cælitus illuminati patris Raymundi Lullii Maioricensis. Liber ad omnes scientias utilissimus.,,,1515,1515,lat,yes
MILE062766,ECO.01.0772,ECO.01.0772,Specimen steganographiae Ioannis Trithemii abbatis spanheimensis Quo Auctoris ingenuitas demonstratur & opus à superstitione absoluitur cum Vindiciis ,,Duaci,1641,1641,lat,yes
MILE062771,ECO.01.0789,ECO.01.0789,"Adriani Scriecki Rodorni serenissimis Belgarum principibus a consiliis, Adversariorum libri 4. His argumentis : linguam hebraicam esse divinam & primo",,Ypris Flandrorum,1620 (Ipris Flandror,1620,lat,yes
MILE062772,ECO.01.0795,ECO.01.0795,"Le Contr'espion, Ou Les Clefs De Toutes Les Correspondances Secrettés",,A Paris,1793,1793,fre,yes
MILE062774,ECO.01.0796,ECO.01.0796,"A treatise on the art of decyphering, and of writing in cypher with an harmonic alphabet",,London,1777,1772,eng,yes
MILE062796,ECO.01.0815,ECO.01.0815,Les images ou tableaux de platte peinture des deux philostrates sophistes grecs et les statues de Callistrate mis en francois par Blaise de Vigenere b,,A Paris,1614,1614,fre,yes
MILE062845,ECO.01.0863,ECO.01.0863,Le cabaliste amoureux et trompe. Histoire veritable et recente.,,A Amsterdam,1743,1743,fre,yes
MILE062858,ECO.01.0866/2,ECO.01.0866/2,"De Lapide Philosophorum, Tractatus Duodecim, e naturae fonte, & Manuali experi. Autor sum, qui Divi Leschi Genus Amo",,Francofurti,1611,1611,lat,yes
MILE062859,ECO.01.0868/1,ECO.01.0868/1,"Histoire critique de Nicolas Flamel et de Pernelle sa femme, recueillie d'actes anciens qui justifient l'origine & la médiocrité de leur fortune contr",,Paris,1761,1761,fre,yes
MILE062899,ECO.01.0929,ECO.01.0929,"Daemoniaci cum locis infestis et terriculamentis nocturnis. In est, libri tres, quibus spirituum homines obsidentium atque infestantium genera, ... ex",,Coloniae Agrippinae,1631,1631,lat,yes
MILE062900,ECO.01.0938,ECO.01.0938,"A treatise proving spirits, witches, and supernatural operations, by pregnant instances and evidences together with other things worthy of note by Mer",,London,1672,1672,eng,
MILE062929,ECO.01.0973/02,ECO.01.0973/02,"Georgii Wolffgangi Wedelii D. Medici Ducalis Saxo-Gothani, Acad. Curios. Specimen experimenti chimici noui, de sale uolatili plantarum, quo demonstrat",,Francofurti,1672,1672,lat,yes
MILE062967,ECO.01.1006/01,ECO.01.1006/01,"La consolation des navigants. Dans laquelle est enseigné à ceux qui voyagent sur mer un moyen de se garantir de la faim et de la soif, voire même des ",,A Paris,1659,1659,fre,yes
MILE063067,ECO.02.0135,ECO.02.0135,Tome second,,,1701,1701,fre,yes
MILE063069,ECO.02.0154/1,ECO.02.0154/1,"Il diuortio celeste, cagionato dalle dissolutezze della Sposa Romana. & consacrato alla simplicita de' scropolosi christiani",,In Ingelstatt,1643,1643,ita,yes
MILE063073,ECO.01.0678,ECO.01.0678,An essay towards a real character and a philosophical language by John Wilkins,,London,1668,1668,eng,yes
MILE063075,ECO.02.0155,ECO.02.0155,"La vraye histoire comique de Francion. Composée par N. de Moulinet sieur Du Parc, gentilhomme Lorrain. Amplifiée en plusieurs endroits, & augmentée da",,A Troyes,1646,1646,fre,yes
MILE063136,ECO.01.0941,ECO.01.0941,2. operum pars posterior,,,,1630,lat,yes
MILE063142,ECO.01.0943/02,ECO.01.0943/02,"Siebender Theil Der Bücher und Schrifften des Edlen Hochgelehrten vnd Bewehrten Philosophi vnnd Medici, Philipi Theophrasti Bombast von Hohenheim Para",,Getruckt zu Basel,1590,1590,ger,yes
MILE063143,ECO.01.1005/01,ECO.01.1005/01,"Longitudinum terrestrium necnon coelestium, nova et hactenus optata scientia. ... Qua cuiusuis Terrae loci in quo sit statio; et cuiuslibet astri visi",,Parisiis,1634,1634,lat,yes
MILE063145,ECO.01.1092,ECO.01.1092,Freyherrn von Knigge Welt- und Menschenkenntniß. Ein Pendant zu dem Buche Umgang mit Menschen,,Auf Kosten des Verfassers,1796,1796,ger,
MILE063148,ECO.03.0029,ECO.03.0029,"Heures a lusaige de Romme tout au long sans rien requerir. Avec les figures de la vie de lhomme, et la destruction de hierusalem.",,,,1514,lat,yes
MILE063151,ECO.01.0778,ECO.01.0778,Cryptographia oder Geheime schrifft- münd- und würckliche Correspondentz welche lehrmäßig vorstellet eine hoch-schätzbare Kunst verborgene Schrifften ,,Hamburg,1684,1684,ger,yes
TO01884282,ECO.02.0131,ECO.02.0131,Histoire des sociétés secrètes politiques et religieuses,par P. Zaccone,Paris,,1831,fre,
TO01884287,ECO.02.0131,ECO.02.0131,1,par P. Zaccone,Paris,[18..],1831,fre,yes
TO00640936,ECO.02.0138,ECO.02.0138,Margherita Pusterla,di Cesare Cantù,Milano,1854,1854,ita,yes
TO00716698,ECO.01.0206,ECO.01.0206,Imprimeurs imaginaires et libraires supposés,par Gustave Brunet,Paris,1866,1866,fre,
TO00707994,ECO.01.0711,ECO.01.0711,Manuale di mnemotecnica ossia Dell'arte di ajutare ed accrescere la memoria,,Pavia,1841,1841,ita,yes
VIAE011596,ECO.01.0594/1,ECO.01.0594/1,"Histoire critique du Vieux Testament, par le R.P. Richard Simon, prêtre de la Congregation de l'Oratoire",,A Rotterdam,1685,1685,fre,yes
MILE001870,ECO.01.0108,ECO.01.0108,Incipit liber phisionomiae: quae compilauit magister Michael Scotus ad preces D. Federici romanorum imperatoris,,,,1477,lat,yes
MILE001874,ECO.01.0106,ECO.01.0106,Albertus magnus de secretis mulierum cum commento,,,,1499,lat,yes
VIAE046315,ECO.01.0890,ECO.01.0890,Petri Gassendi Institutio astronomica juxsta hypotheses tam veterum quam recentiorum. Cui accesserunt Galilei Galilei Nutius sidereus; et Johannis Kep,,Londini,1653,1653,lat,yes
MILE006717,ECO.03.0072/03,ECO.03.0072/03,Aur. Phil. The. Paracelsi ... De meteoris liber vnus. De matrice liber alius. De tribus principijs liber tertius. Quibus astronomica & astrologica fra,,Basileae,,1569,lat,
MILE006718,ECO.03.0072/03,ECO.03.0072/03,\1!,,,,1569,lat,yes
MILE010391,ECO.01.0202,ECO.01.0202,"Homo et ejus partes figuratus & symbolicus, anatomicus, rationalis, moralis, mysticus, politicus, & legalis, collectus et explicatus cum figuris, symb",,Augustae Vindelicorum & Dilingae,1695,1695,lat,
MILE010544,ECO.01.0199,ECO.01.0199,\4!: Hieroglyphicorum et medicorum emblematum dōdekakrounos. Auctore Ludouico Casanoua ...,,Lugduni,1626,1626,lat,yes
CFI0822002,ECO.04.0082,ECO.04.0082,Storia delle terre e dei luoghi leggendari,Umberto Eco,[Milano],2013,2013,ita,
CFI0823491,ECO.01.1083,ECO.01.1083,Le diable sa grandeur et sa décadence,par J.-M. Cayla,Paris,1864,1864,fre,yes
TO00362089,ECO.01.0254/04,ECO.01.0254/04,Johann Valentin Andreae 1586-1986,[Katalogbearbeitung: C. Gilly],Amsterdam,1987,1987,ger,yes
LIA0011093,ECO.02.0164,ECO.02.0164,Dictionnaire des sciences philosophiques,par une Societé de professeurs de philosophie,Paris,1844-1852,1844,fre,
RAV0128117,ECO.04.0040/2,ECO.04.0040/2,Postille a Il nome della rosa,di Umberto Eco,Milano,stampa 1984,1984,ita,
MILE010541,ECO.01.0199,ECO.01.0199,"Joannis Pierij Valeriani Bellunensis Hieroglyphica, seu de Sacris Aegyptiorum, aliarùmque gentium literis commentarij, libris quinquaginta octo digest",,Lugduni,1621-1626,1621,lat,
CFI0873514,ECO.01.1056,ECO.01.1056,3,,Torino,1832,1832,ita,yes
CFI0873516,ECO.01.1056,ECO.01.1056,7,,Torino,1832,1832,ita,yes
CFI0873519,ECO.01.1056,ECO.01.1056,8,,Torino,1832,1832,ita,yes
CFI0873520,ECO.01.1056,ECO.01.1056,9[.1],,Torino,1833,1833,ita,yes
TO00362050,ECO.01.0254/34,ECO.01.0254/34,Cimelia Rhodostaurotica,,Amsterdam,1995,1995,ger,yes
MILE000806,ECO.01.0854,ECO.01.0854,1,,,,1606,lat,yes
MILE000808,ECO.01.0854,ECO.01.0854,"3: Disquisitionum magicarum tomus tertius, seu Methodus iudicum, et confessariorum directioni commoda. Hac vltima cura emendatior, auctiorque. Auctore",,Venetiis,1606,1606,lat,yes
VIAE045413,ECO.01.0946/01,ECO.01.0946/01,Osvaldi Crollii veterani hassi Basilica chymica continens [...] in fine libri additus est autoris eiusdem Tractatum novus de signaturis rerum internis,,Francofurti,1620,1620,lat,yes
VIAE046274,ECO.01.0314,ECO.01.0314,Turris Babel sive Judiciorum de fraternitate rofaceae crucis chaos,Johann Valentin Andreae,Argentorati,1619,1619,lat,yes
VIAE046276,ECO.01.0317,ECO.01.0317,"Reipublicae christianopolitanae descriptio, ... [Johann Valentin Andreae]",,Argentorati,1619,1619,lat,yes
CFI0873511,ECO.01.1056,ECO.01.1056,3,,Torino,1831,1831,ita,yes
CFI0873521,ECO.01.1056,ECO.01.1056,9.2,,Torino,1833,1833,ita,yes
CFI0873522,ECO.01.1056,ECO.01.1056,9.3,,Torino,1833,1833,ita,yes
CFI0873523,ECO.01.1056,ECO.01.1056,10[.1],,Torino,1833,1833,ita,yes
VIAE012355,ECO.02.0115,ECO.02.0115,"Catalogo degli ordini equestri, e militari esposto in imagini, e con breve racconto offerto alla Santita di N.S. Clemente 11. dal p. Filippo Bonanni d",,In Roma,1724,1724,lat,yes
MILE001804,ECO.01.0897,ECO.01.0897,"Strabonos Geographikon bibloi 17. Strabonis Rerum geographicarum libri 17. Accedunt huic editioni, ad Casaubonianam 3. expressae, notae integrae G. Xy",,Amstelaedami,1707,1707,grc,
MILE003004,ECO.01.0960,ECO.01.0960,"Treuisanus De chymico miraculo, quod lapidem philosophiae a Dionys. Zecharius de eodem. Auctoritatibus varijs principum huius artis, Democriti, Gebri,",,Basileae,1600,1600,lat,yes
TO00515065,ECO.01.0224,ECO.01.0224,Storia del Piemonte,raccontata al popolo da Carlo Avalle,Alessandria,,1856,ita,
TO00515070,ECO.01.0224,ECO.01.0224,2: Età di mezzo,Carlo Avalle,Alessandria,1856,1856,ita,yes
TO00515073,ECO.01.0224,ECO.01.0224,3: Età moderne,Carlo Avalle,Alessandria,1856,1856,ita,yes
MILE000780,ECO.01.0854,ECO.01.0854,"Disquisitionum magicarum libri sex, in tres tomos partiti Auctore Martino Del Rio Societatis Iesu presbytero ... Tomus primus [-tertius]",,Venetiis,1606,1606,lat,
MILE000807,ECO.01.0854,ECO.01.0854,"2: Magicarum disquisitionum tomus secundus, secunda cura correctior & auctior. In quo agitur de maleficio, vana observatione diuinatione, & consecrati",,Venetiis,1606,1606,lat,yes
LIA0067039,ECO.01.1088,ECO.01.1088,Le spiritisme dans le monde,Louis Jacolliot,Paris,1875,1875,fre,yes
VIAE005927,ECO.01.1008,ECO.01.1008,"La nautica rilucente o' sia Diario della nauigazione. Estratta da' voluminosi diarj formati dall'autore nel corso delle di lui nauigazioni, esercitate",,In Venezia,1700,1700,ita,yes
RAV0652174,ECO.04.0046,ECO.04.0046,La bustina di Minerva,Umberto Eco,Milano,2000,2000,ita,
TO01364424,ECO.01.0510,ECO.01.0510,La langue bleue,Léon Bollack,Paris,1899,1899,fre,
CFIE023516,ECO.01.1093,ECO.01.1093,Dialogue entre le diable boiteux et le diable borgne. Par mr. Le Noble,,A Amsterdam,1708,1708,fre,
CFIE023518,ECO.01.1093,ECO.01.1093,[1],,,,1708,fre,yes
TO01394942,ECO.01.1067,ECO.01.1067,I misteri di Torino,,Torino,1849,1849,ita,yes
MIL0645993,ECO.01.0207,ECO.01.0207,Les fous littéraires,par Philomneste junior,Bruxelles,1880,1880,fre,
RAV0324893,ECO.02.0169,ECO.02.0169,L'archeometre,Saint-Yves d'Alveydre,Paris,\1911?!,1911,fre,yes
RAV0326636,ECO.02.0105,ECO.02.0105,"La theogonie des patriarches Jesus (Nouveau Testament), Moise (Ancien Testament)",Saint Yves d'Alveydre,Paris,1909,1909,fre,yes
TO01303949,ECO.01.0704,ECO.01.0704,Traité de mnemotechnie,par J. F. de Castilho et A. M. de Castilho,Bordeaux,1835,1835,fre,yes
RAV0325234,ECO.01.0834,ECO.01.0834,"Première encyclopédie théologique, ou première série de dictionnaires sur toutes les parties de la science religieuse offrant en francais, et par ordr",publiée par m. l'abbé Migne,Paris,,1847,fre,
RAV0326022,ECO.02.0014,ECO.02.0014,L'abbe Boullan (docteur Johannes de La-Bas),Joanny Bricaud,Paris,1927,1927,fre,yes
MIL0629615,ECO.02.0164,ECO.02.0164,4,par une Societé de professeurs et de savants,Paris,1849,1849,fre,yes
MIL0629616,ECO.02.0164,ECO.02.0164,5,par une Societé de professeurs et de savants,Paris,1851,1851,fre,
TO01357113,ECO.02.0143,ECO.02.0143,1,par Louis Figuier,Paris,1867,1867,fre,yes
TO01357118,ECO.02.0143,ECO.02.0143,2,par Louis Figuier,Paris,1868,1868,fre,yes
RAV0705703,ECO.04.0005,ECO.04.0005,Baudolino,Umberto Eco,Milano,2000,2000,ita,
MIL0647784,ECO.01.0141,ECO.01.0141,Il tesoro di Brunetto Latini,volgarizzato da Bono Giamboni,Venezia,1839,1839,ita,
MIL0629613,ECO.02.0164,ECO.02.0164,2,par une Societé de professeurs de philosophie,Paris,1845,1845,fre,yes
MIL0629614,ECO.02.0164,ECO.02.0164,3,par une Societé de professeurs et de savants,Paris,1847,1847,fre,yes
RAV0695758,ECO.01.0818,ECO.01.0818,Paesaggi italici nella Divina Commedia,Vittorio Alinari,Firenze,stampa 1921,1921,ita,yes
TO01426189,ECO.02.0034,ECO.02.0034,18: La licorne,,Paris,société du Mercure d,1905,fre,yes
TO01646397,ECO.01.0435/04,ECO.01.0435/04,1.2: [C-G!,Ludovici Hain,Berlin,1925,1925,lat,yes
RAV1101132,ECO.01.0254/12,ECO.01.0254/12,The globes of Hondius,by Peter van der Krogt,Utrecht,1991,1991,eng,yes
TO01597623,ECO.01.0910,ECO.01.0910,"48: Dictionnaire des sciences occultes, savoir, de aéromancie, alchimie, alectriomancie, aleuromancie, ... ou répertoire universel, des etres, des per",publié par M. l'abbé Migne,Paris,1846,1846,fre,yes
TO01646396,ECO.01.0435/04,ECO.01.0435/04,1.1: [A-B!,Ludovici Hain,Berlin,1925,1925,lat,yes
TO01646398,ECO.01.0435/04,ECO.01.0435/04,2.1: [H-O!,Ludovici Hain,Berlin,1925,1925,lat,yes
TO01646399,ECO.01.0435/04,ECO.01.0435/04,2.2: [P-Z!,Ludovici Hain,Berlin,1925,1925,lat,yes
TO01124309,ECO.01.0350,ECO.01.0350,"Recherches sur le mouvement des projectiles dans l'air, en ayant égard à leur figure et leur rotation, et à l'influence du mouvement diurne de la terr",par S.-D. Poisson,Paris,1839,1839,fre,
TO01124534,ECO.01.0709,ECO.01.0709,Nuova Mnemonica,,,,1840,ita,
CFIE028223,ECO.01.0462,ECO.01.0462,Suite des erreurs et de la vérité. Ou Développement du livre des hommes rappelés au principe universel de la science. Par un ph ..... inc ....,,A Salomonopolis,1784,1784,fre,yes
TO01357122,ECO.02.0143,ECO.02.0143,3,par Louis Figuier,Paris,1869,1869,fre,yes
TO01358808,ECO.01.0578/03,ECO.01.0578/03,Orbis sensualium pictus,Joannes Amos Comenius,Sidney,1967,1967,eng,
TO01385967,ECO.01.0806,ECO.01.0806,"L'antecristo rivelato ossia Napoleone 3. uomo di peccato e Napoleone Eugenio erede imperiale, figlio di perdizione giusta le profezie di Daniele e di ",,Capolago,1863,1863,ita,
MILE056080,ECO.01.0549,ECO.01.0549,"Hermes Scythicus: or, The radical affinities of the greek and latin languages to the Gothic: illustrated from the moeso-gothic, anglo-saxon, francic, ",,Edinburgh,1814,1814,eng,yes
MILE057473,ECO.01.1031,ECO.01.1031,Institutiones logicae et metaphysicae auctore Io. Georg. Henr. Federo ...,,Gottingae,1781,1781,lat,yes
RAV1812797,ECO.04.0058,ECO.04.0058,Non sperate di liberarvi dei libri,"Jean-Claude Carrière, Umberto Eco",Milano,2009,2009,ita,
RAV1517273,ECO.04.0055,ECO.04.0055,La memoria vegetale e altri scritti di bibliofilia,Umberto Eco,Milano,2007,2007,ita,
MILE057049,ECO.01.0057,ECO.01.0057,"2: Cornelii Gemmae medicinae professoris De naturae diuinis characterismis; seu Raris & admirandis spectaculis in vniuerso, tomus secundus, quem Ianum",,Antuerpiae,1575,1575,lat,yes
RAV1876095,ECO.01.1030,ECO.01.1030,3,,Milano,[1914?],1914,ita,yes
CFIE000055,ECO.01.0015,ECO.01.0015,"Phytognomonica Io. Baptistae Portae Neapol. octo libris contenta; in quibus noua, facillimaque affertur methodus, qua plantarum, animalium, metallorum",,Francofurti,1591,1591,lat,yes
TO00994604,ECO.01.0225,ECO.01.0225,Storia di Alessandria,di Carlo A-Valle,Torino,1853-1855,1853,ita,
TO00994610,ECO.01.0225,ECO.01.0225,Vol. 2,Carlo A-Valle,Torino,1854,1854,ita,yes
CFIE002808,ECO.01.0677/01,ECO.01.0677/01,1,,,,1619,lat,
CFIE002810,ECO.01.0677/02,ECO.01.0677/02,2: Amphitheatri sapientiæ Socraticæ ioco-seriæ tomus posterior rerum pro damnosis habitarum encomia & commentaria continens. Recensente Caspare Dornau,,Hanouiæ,1619,1619,lat,yes
CFIE003712,ECO.01.0998,ECO.01.0998,1,,,,1716,fre,yes
CFIE004387,ECO.01.0597,ECO.01.0597,"J.A. Comenii Pansophiæ diatyposis, ichnographica & orthographica delineatione totius futuri operis amplitudinem, dimensionem, usus, adumbrans",,Amsterodami,1645,1645,lat,yes
